實體類別,英文標籤,資料型態,說明,範例,所屬模組,評估類型
新舊法比較,LAW_COMPARISON,str | null,行為時法vs裁判時法的適用結果（僅傳染病案件，社維法為null）,適用行為時法、適用特別條例14條,構成要件分析 — 法院對客觀要件（不實性、公共危害）與主觀要件（故意）的認定,A
競合類型,CONCURRENCE_TYPE,str,本案罪名間的競合關係,,競合罪名分析 — 同一行為觸犯多罪名時的競合關係與各罪認定,A
誹謗名譽損害認定,DEFAME_FINDING,str | null,法院對「足以毀損他人名譽」的認定,,競合罪名分析 — 同一行為觸犯多罪名時的競合關係與各罪認定,A
誹謗真實性/公益抗辯,DEFAME_DEFENSE,str | null,被告主張真實性抗辯或公共利益抗辯的結果,,競合罪名分析 — 同一行為觸犯多罪名時的競合關係與各罪認定,A
恐嚇公眾加害意涵認定,THREAT_FINDING,str | null,法院對「以加害生命身體之事恐嚇公眾」的認定,,競合罪名分析 — 同一行為觸犯多罪名時的競合關係與各罪認定,A
個資法非法利用認定,PRIVACY_FINDING,str | null,法院對「非法利用個人資料」的認定,,競合罪名分析 — 同一行為觸犯多罪名時的競合關係與各罪認定,A
前科/累犯,PRIOR_RECORD,str | null,被告之前案紀錄及是否構成累犯,,程序與前案資訊 — 被告前科紀錄與累犯加重,C
累犯加重與否,RECIDIVIST_ENHANCE,str | null,法院是否依累犯規定加重其刑,,程序與前案資訊 — 被告前科紀錄與累犯加重,A
侵權行為類型,TORT_TYPE,str,侵權行為的法律分類,民法第184條第1項前段（故意不法侵害名譽權）及後段（故意以背於善良風俗之方法加損害於他人）,民事侵權分析 — 民事損害賠償案件的侵權認定與賠償,C
名譽損害認定,REPUTATION_FINDING,str,法院對名譽損害的認定,肯定,民事侵權分析 — 民事損害賠償案件的侵權認定與賠償,A
被告抗辯,DEFENDANT_DEFENSE,str,被告的抗辯理由,辯稱僅係照樣造句、認同原告看書可有武漢肺炎抗體之意，法院認與客觀證據不符不予採信,民事侵權分析 — 民事損害賠償案件的侵權認定與賠償,C
與疫情之關聯,COVID_RELATION,str,案件與疫情的關聯性,被告留言將原告著作與武漢肺炎連結，但本案性質為民事名譽侵權，非刑事散播不實疫情訊息,民事侵權分析 — 民事損害賠償案件的侵權認定與賠償,C
損害賠償,DAMAGES,str,法院判定的賠償金額,精神慰撫金1萬元,民事侵權分析 — 民事損害賠償案件的侵權認定與賠償,B
訴訟費用,LITIGATION_COST,str,訴訟費用的分擔,"1,000元，被告負擔100元，原告負擔900元",民事侵權分析 — 民事損害賠償案件的侵權認定與賠償,B
程序階段,PROC_STAGE,str,該文書在訴訟流程中的位置,,程序歷程 — 文書在訴訟流程中的位置與關聯文書,A
前階段文書,PREV_DOC,list[str] | null,本案前一階段文書的案號（如起訴書之於判決）,109年度嘉秩字第9號,程序歷程 — 文書在訴訟流程中的位置與關聯文書,B
後階段文書,NEXT_DOC,list[str] | null,本案後一階段文書的案號（如判決之於起訴書）,109年度秩抗字第1號,程序歷程 — 文書在訴訟流程中的位置與關聯文書,B
援引法源,CITED_AUTHORITY,list[dict] | null,法院/檢察官引用的大法官解釋、最高法院判決或判例、上級判決,"[{'type': '大法官解釋', 'content': '釋字第509號', 'precedent': None}, {'type': '最高法院判決或判例', 'content': '最高法院40年台上字第86號', 'precedent': '最高法院40年台上字第86號'}]",援引法源 — 文書中引用的法條以外之上層司法權威來源,B
